TIPO_BASE;H_COUNT;DISCADO;ALÔ URA;%ALÔ;TRAN_AG;%DTMF
STIR SHAKEN;27;81731;2810;3.44;59;2.1
BINA 0303;24;81158;2171;2.68;51;2.35
